season,model_a,model_b,n_matched,mean_delta_abs_error,mean_delta_abs_error_ci95_low,mean_delta_abs_error_ci95_high,median_delta_abs_error,mean_delta_sq_error,rmse_a,rmse_b,rmse_delta_a_minus_b,bias_a,bias_b,bias_delta_a_minus_b,fraction_model_a_better_abs_error
autumn,model6_rf,model8_process,308,0.15168776697926706,-0.11972215749396646,0.44717649865460063,0.17087020874023207,2.924598183548964,7.279353647595627,7.075619502433324,0.20373414516230337,0.2955141067504881,2.0333314932786024,-1.7378173865281141,0.4772727272727273
winter,model6_rf,model8_process,252,-0.16221063477652403,-0.9165756614220353,0.5676197625325671,-0.7887211799621596,-2.8337763618160863,5.335722626914797,5.594972056515263,-0.25924942960046593,-1.600849241680569,3.3936915215991794,-4.9945407632797485,0.5634920634920635
