terrain_var,terrain_stratum,model_a,model_b,n_matched,mean_delta_abs_error,mean_delta_abs_error_ci95_low,mean_delta_abs_error_ci95_high,median_delta_abs_error,mean_delta_sq_error,rmse_a,rmse_b,rmse_delta_a_minus_b,bias_a,bias_b,bias_delta_a_minus_b,fraction_model_a_better_abs_error
eastness,low,model6_rf,model8_process,187,-0.5826996614588774,-1.0131033294038343,-0.16157825758843067,-0.5397624969482422,-6.088593092264802,5.6242972155793645,6.141767844964395,-0.5174706293850306,1.1644898307514702,3.3078041872238733,-2.143314356472403,0.5989304812834224
eastness,mid,model6_rf,model8_process,191,0.08233104925505162,-0.6795067611713035,0.8331015857681828,-0.16019535064697088,0.6253088444192312,6.801369492374761,6.755243750405078,0.046125741969683,-0.5688600989536463,2.6012873325048314,-3.1701474314584783,0.5026178010471204
twi,high,model6_rf,model8_process,186,0.052201712003318364,-0.7728907270695287,0.9604822197622112,-0.6300527572631847,1.5043571712166484,7.31762741083509,7.214105194172623,0.10352221666246741,-0.9616993411894769,3.378432018526139,-4.340131359715616,0.5591397849462365
twi,low,model6_rf,model8_process,190,0.3537328569512619,-0.21786076767625065,0.9427513091103185,0.3490581512451181,4.631761907231103,5.852988425806942,5.442950634113718,0.41003779169322385,-0.6781794648421436,1.6433061900891757,-2.3214856549313194,0.4473684210526316
twi,mid,model6_rf,model8_process,184,-0.3862826575403629,-1.1396038713130627,0.3958567146800808,-0.32953224182129226,-5.289024993830319,6.179491798244543,6.593568372164036,-0.41407657391949293,-0.025355914364690445,2.9394556076630303,-2.9648115220277207,0.5434782608695652
hli,high,model6_rf,model8_process,183,1.3494612021524401,0.4317003285018316,2.203853271713986,1.5256690979003906,15.864825840361291,7.042758996525717,5.808237980901148,1.2345210156245692,-3.4089224028457057,0.817933537008984,-4.22685593985469,0.34972677595628415
hli,low,model6_rf,model8_process,189,-0.4515958150227867,-0.9553278225835747,0.09215199161220236,-0.34641456604003906,-3.8904112270917977,6.486711508518021,6.779958511807572,-0.2932470032895509,0.9595685979045888,2.9629296691329396,-2.0033610712283503,0.5608465608465608
hli,mid,model6_rf,model8_process,188,-0.8284948866418067,-1.3697451983689277,-0.2322565943375105,-1.0838699340820312,-10.538887284629462,5.864387630764963,6.702979156203497,-0.8385915254385345,0.691907822832148,4.105323503372517,-3.413415680540369,0.6329787234042553
accumulation,high,model6_rf,model8_process,186,0.3382225898004348,-0.5309045633640738,1.25903995339738,0.10606212615966726,4.584202961257065,7.127632691949263,6.798451649463048,0.3291810424862156,-1.8368894597535494,2.1540810595276536,-3.990970519281203,0.4946236559139785
accumulation,low,model6_rf,model8_process,307,-0.06432557121550221,-0.622801599641611,0.5019116679745809,-0.16019535064697088,-0.006988953260865826,6.049177513276606,6.049755163673337,-0.0005776503967309665,-0.3526097077111859,2.5599314922618555,-2.9125411999730413,0.5146579804560261
accumulation,mid,model6_rf,model8_process,67,-0.5569955085640522,-1.563346568965524,0.5558929249156602,-0.5445289611816406,-9.908232011750762,6.478131673433948,7.202390019299071,-0.724258345865123,2.0524918769722555,4.401765942929396,-2.3492740659571405,0.582089552238806
soil_clay,high,model6_rf,model8_process,180,-1.1242832120259603,-1.6261659129717012,-0.5292558329715259,-1.05964946746826,-13.275603619811704,6.250773746422838,7.235176297007608,-0.98440255058477,1.8412305937872993,4.773069063822429,-2.931838470035129,0.6666666666666666
soil_clay,low,model6_rf,model8_process,198,1.1122851805253462,0.28744127383477414,1.9280491091318777,1.1769680023193345,14.731993721705042,7.0246855904948005,5.88338456363344,1.1413010268613606,-2.5849542771927037,0.6047568215264216,-3.189711098719125,0.35858585858585856
soil_clay,mid,model6_rf,model8_process,182,-0.06603700721656865,-0.6678877397372547,0.5138518925999417,-0.39005136489868164,-1.8717665273410076,6.063533805818709,6.215964023516169,-0.1524302176974599,-0.7252539781423717,2.761440006717221,-3.4866939848595924,0.5384615384615384
soil_sand,high,model6_rf,model8_process,172,1.5711598130159599,0.7521338383447038,2.398055144298524,1.5259761810302699,21.00166922095801,7.243487067796834,5.609495135962055,1.633991931834779,-3.2929964087730235,-0.28562662435132397,-3.007369784421699,0.3023255813953488
soil_sand,low,model6_rf,model8_process,198,-1.2813905041627212,-1.7510341641475102,-0.7281861198748433,-1.276820182800293,-14.949981235303515,6.25129855488661,7.3504227672720255,-1.0991242123854157,1.8123435800725762,4.968611372360075,-3.156267792287499,0.6919191919191919
soil_sand,mid,model6_rf,model8_process,190,-0.056217977624190306,-0.524811928702681,0.45275297736048237,-0.33929386138915874,-2.4501380213644937,5.952853952312689,6.1552098419898975,-0.2023558896772082,-0.5518121608934904,2.877995215968082,-3.4298073768615724,0.5263157894736842
soil_awc,high,model6_rf,model8_process,162,0.25866589487334823,-0.6248982686034182,1.241450722642607,-0.00179290771484375,4.955611932738338,6.845386681664674,6.473307260494727,0.3720794211699463,-1.2445113370447984,2.2638616173355666,-3.508372954380365,0.5
soil_awc,low,model6_rf,model8_process,190,-0.473815702137194,-1.271163219006507,0.2526833404531798,-0.5754105567932148,-6.120155593209861,6.447829353806384,6.906131983173875,-0.4583026293674912,0.18113336161563295,3.5563292914942686,-3.3751959298786365,0.5842105263157895
soil_awc,mid,model6_rf,model8_process,208,0.25944163799285885,-0.31810315694381935,0.9431313451312727,0.25738334655761896,2.6282933988542814,6.203545567897612,5.987961607603027,0.21558396029458482,-0.6980777217791629,2.1107125768294703,-2.808790298608633,0.46634615384615385
soil_bdw,high,model6_rf,model8_process,180,-0.7622645897335478,-1.3893850009342568,-0.1224843176226376,-0.9144378662109354,-10.282666340980464,6.361766341787529,7.124235911905301,-0.7624695701177719,0.5615966754489473,3.8774716069963238,-3.315874931547377,0.5888888888888889
soil_bdw,low,model6_rf,model8_process,198,0.5866586299857709,-0.25922970617551,1.4523373296204432,0.30942058563232333,10.147548949389138,6.515195406932518,5.68332844740874,0.8318669595237784,-1.856319559463347,1.5285868240125255,-3.384906383475872,0.4595959595959596
soil_bdw,mid,model6_rf,model8_process,182,0.14775807516915465,-0.5104741486230457,0.9023383635671347,-0.05252647399902344,0.15565849864209957,6.5488029107065096,6.536907607166859,0.011895303539650293,-0.2523724880847302,2.6421499063680454,-2.894522394452776,0.5054945054945055
rain_7,high,model6_rf,model8_process,178,0.8446285012063014,0.04100388959681911,1.576964230325765,1.0520210266113281,9.068203620673895,5.280096110383541,4.337189333452427,0.9429067769311139,-2.9737790600637366,1.7026266537355579,-4.676405713799294,0.39325842696629215
rain_7,low,model6_rf,model8_process,206,-0.9617928875302805,-1.376255596164796,-0.5192635810924926,-0.9133852958679185,-10.269959232283943,6.6032966142018585,7.339855952770032,-0.7365593385681732,4.163667296437384,6.016385645079381,-1.8527183486419974,0.6699029126213593
rain_7,mid,model6_rf,model8_process,176,0.30470576069571764,-0.29148942743782724,0.9385216771573776,0.4082622528076172,3.909863379124809,7.3662970157632675,7.095947318386602,0.27034969737666525,-3.6407866727222102,-0.3464012720368123,-3.294385400685397,0.4602272727272727
rain_30,high,model6_rf,model8_process,162,0.44446685932300706,-0.36905295490510076,1.195656519433758,0.6814149856567369,2.974821080203062,4.9260997573311025,4.614286265390834,0.31181349194026886,-2.2094568688192484,1.9314917564392093,-4.140948625258457,0.43209876543209874
rain_30,low,model6_rf,model8_process,232,0.07631646435836267,-0.12444775313558959,0.28545214478336584,0.06389141082763672,2.2087889612199483,7.935453607858339,7.795039127628032,0.1404144802303069,1.1043779915776744,2.247372835257958,-1.142994843680283,0.4956896551724138
rain_30,mid,model6_rf,model8_process,166,-0.5052186667201032,-1.2928211157223835,0.28712157101889846,-1.3851393699645973,-4.865635280966849,5.463182325386172,5.891688756322647,-0.42850643093647545,-1.269152682660574,3.898700006324124,-5.1678526889846985,0.6265060240963856
rain_365,high,model6_rf,model8_process,174,0.8587196185671048,-0.05745278986904012,1.6700588489465342,1.3029907226562507,7.080642838383123,5.1668579098565095,4.428970289160184,0.7378876206963252,-2.9502453135347912,1.7215654121048154,-4.671810725639606,0.3735632183908046
rain_365,low,model6_rf,model8_process,200,-0.3161089687347413,-0.7069393380207443,0.08792586571601999,-0.3778264045715325,-4.640249310410227,7.088790415987429,7.408859485251791,-0.3200690692643624,3.729023540496826,5.185556924819946,-1.45653338432312,0.57
rain_365,mid,model6_rf,model8_process,186,-0.4320035893429989,-1.1271457575529251,0.2628515041477402,-0.9525322914123535,-0.6307386797913483,6.878228675561563,6.923927237710455,-0.045698562148891675,-2.9293424062831424,0.7785623478633104,-3.707904754146453,0.5913978494623656
ppet_30,high,model6_rf,model8_process,182,0.5070295281462618,-0.37914384196080647,1.3666909607955862,0.703935432434081,3.178776765370233,5.428431120039032,5.127288529002243,0.30114259103678886,-2.3535376527807217,2.7861125715486295,-5.139650224329351,0.4725274725274725
ppet_30,low,model6_rf,model8_process,232,0.07631646435836267,-0.12444775313558959,0.28545214478336584,0.06389141082763672,2.2087889612199483,7.935453607858339,7.795039127628032,0.1404144802303069,1.1043779915776744,2.247372835257958,-1.142994843680283,0.4956896551724138
ppet_30,mid,model6_rf,model8_process,146,-0.7133016547111616,-1.389927910500778,-0.06094111502533469,-1.124624633789061,-6.193916527020434,4.911902617547652,5.506423871378947,-0.594521253831295,-0.9607363374265907,3.1028313532267537,-4.063567690653343,0.6027397260273972
ppet_365,high,model6_rf,model8_process,175,0.8225227148873465,-0.05562916910120077,1.6481598912380018,1.2836498260498033,6.668541502800916,5.157752695411342,4.46473642718381,0.6930162682275318,-2.915096540178572,1.7613080586024696,-4.6764045987810405,0.37714285714285717
ppet_365,low,model6_rf,model8_process,200,-0.3161089687347413,-0.7069393380207443,0.08792586571601999,-0.3778264045715325,-4.640249310410227,7.088790415987429,7.408859485251791,-0.3200690692643624,3.729023540496826,5.185556924819946,-1.45653338432312,0.57
ppet_365,mid,model6_rf,model8_process,185,-0.40474015725625495,-1.0809208192750557,0.28637831365718086,-0.9291296005249023,-0.2825962354199333,6.892777445876325,6.913246498845625,-0.02046905296930035,-2.962478257256585,0.7358706386669266,-3.6983488959235116,0.5891891891891892
vpd_30,high,model6_rf,model8_process,179,0.16990714579321164,-0.05325239781042884,0.42688805300141325,0.22986698150634588,4.243559231188913,7.921218609446356,7.648669493934901,0.2725491155114552,-0.6279265014818933,0.702414065099961,-1.330340566581854,0.4748603351955307
vpd_30,low,model6_rf,model8_process,232,-0.10745641034224927,-0.8605617114383742,0.594936425770566,-0.7887211799621596,-1.9548450682785894,5.1912900676222895,5.37627544257848,-0.18498537495619072,-1.8013495190390225,3.2160688614023143,-5.017418380441336,0.5560344827586207
vpd_30,mid,model6_rf,model8_process,149,0.0024111434117255587,-0.5870419485342635,0.5698515318142864,-0.08125534057617045,-0.8013989878305715,6.35169971245092,6.414474898616384,-0.06277518616546462,1.462525289650732,4.091384361574314,-2.6288590719235825,0.5033557046979866
rain_365_anom,high,model6_rf,model8_process,174,0.8587196185671048,-0.05745278986904012,1.6700588489465342,1.3029907226562507,7.080642838383123,5.1668579098565095,4.428970289160184,0.7378876206963252,-2.9502453135347912,1.7215654121048154,-4.671810725639606,0.3735632183908046
rain_365_anom,low,model6_rf,model8_process,200,-0.3161089687347413,-0.7069393380207443,0.08792586571601999,-0.3778264045715325,-4.640249310410227,7.088790415987429,7.408859485251791,-0.3200690692643624,3.729023540496826,5.185556924819946,-1.45653338432312,0.57
rain_365_anom,mid,model6_rf,model8_process,186,-0.4320035893429989,-1.1271457575529251,0.2628515041477402,-0.9525322914123535,-0.6307386797913483,6.878228675561563,6.923927237710455,-0.045698562148891675,-2.9293424062831424,0.7785623478633104,-3.707904754146453,0.5913978494623656
